Day,Social,Communication,Movies & Videos,Music,Games,Creativity + Designing,Productivity + Work,Others
9/22/2025,112,21,69,1,0,136,5,0
9/23/2025,118,17,134,0.57,19,0,37,25
9/24/2025,81,39,4,1,0,0,146,15
9/25/2025,113,17,58,3,0,113,70,20
9/26/2025,44,25,123.8,3.3,5,92,234,0
9/27/2025,63,21,62,2.05,0,0,203,54
9/28/2025,65,17,102,0.95,73,1,292,10
9/29/2025,101,49,76,0,80,0,527,14
9/30/2025,31,14,89,0,14,0,360.62,17
10/1/2025,71,18,98,54,3,0,455,16
10/2/2025,61,25,122,38,0,0,254,31
10/3/2025,76,51,169,4,142,0,240,0
10/4/2025,0,17,124.22,34,0,0,72,34
10/5/2025,45,32,134.38,5.03,22,3.42,323,18
10/6/2025,99,20.7,159,10.4,0,0,288,17
10/7/2025,69,39,1.98,2,0,46,456,15
10/8/2025,72,27.27,72.17,8.85,0,0,741,45
10/9/2025,118,60.28,90,43,83,0,505,16
10/10/2025,94,26,124.62,58,141,30,147,11
10/11/2025,58.2,30.38,151,0,60,0,37,29
10/12/2025,51.9,26.25,30,62,0,0,190,3